timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1571850053605,658,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,4,4,656,0,63
1571850054137,127,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,4,4,125,0,2
1571850053936,327,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,4,4,325,0,1
1571850053737,526,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,4,4,524,0,1
1571850054269,64,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,4,4,63,0,0
1571850054274,75,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,4,4,74,0,0
1571850054267,95,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,5,5,95,0,0
1571850054268,118,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,5,5,117,0,0
1571850054363,32,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,5,5,32,0,0
1571850054358,62,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,5,5,61,0,2
1571850054396,26,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,5,5,26,0,0
1571850054421,80,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,5,5,79,0,0
1571850054350,178,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,5,5,176,0,0
1571850054334,251,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,5,5,250,0,0
1571850054422,191,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,5,5,190,0,0
1571850054586,28,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,5,5,27,0,0
1571850054528,107,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,5,5,107,0,0
1571850054386,251,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,5,5,202,0,0
1571850054614,59,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,5,5,58,0,0
1571850054636,58,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,5,5,58,0,0
1571850054502,195,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,5,5,194,0,0
1571850054638,64,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,5,5,61,0,0
1571850054615,99,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,5,5,98,0,0
1571850054703,23,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,5,5,23,0,0
1571850054674,76,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,5,5,75,0,0
1571850054694,60,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,5,5,59,0,0
1571850054714,42,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,5,5,41,0,0
1571850054750,36,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,5,5,36,0,0
1571850054755,35,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,5,5,30,0,0
1571850054697,99,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,5,5,98,0,0
1571850054756,44,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,5,5,44,0,0
1571850054796,22,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,5,5,22,0,0
1571850054791,31,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,5,5,30,0,0
1571850054788,48,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,5,5,47,0,0
1571850054819,24,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,5,5,24,0,0
1571850054801,62,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,5,5,62,0,0
1571850054823,49,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,5,5,49,0,0
1571850054843,37,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,5,5,37,0,0
1571850054863,23,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,5,5,23,0,0
1571850054881,25,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,5,5,25,0,0
1571850054886,30,HTTP Request,200,,Thread Group 1-3,text,true,,4181,123,5,5,27,0,0
1571850054872,54,HTTP Request,200,,Thread Group 1-2,text,true,,4181,123,4,4,53,0,0
1571850054907,26,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,3,3,25,0,0
1571850054727,213,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,3,3,213,0,0
1571850054836,108,HTTP Request,200,,Thread Group 1-4,text,true,,4181,123,3,3,101,0,0
1571850054934,23,HTTP Request,200,,Thread Group 1-5,text,true,,4181,123,2,2,22,0,0
1571850054940,21,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,1,1,21,0,0
1571850054962,25,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,1,1,25,0,0
1571850054988,16,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,1,1,16,0,0
1571850055005,20,HTTP Request,200,,Thread Group 1-1,text,true,,4181,123,1,1,19,0,0
